curTime, newWaiters, rejected, lineSize
0, 30, 0, 30
1, 24, 0, 24
2, 29, 0, 29
3, 29, 0, 29
4, 32, 0, 32
5, 21, 0, 21
6, 23, 0, 23
7, 29, 0, 29
8, 22, 0, 22
9, 26, 0, 26
10, 25, 0, 25
11, 26, 0, 26
12, 23, 0, 23
13, 25, 0, 25
14, 34, 0, 34
15, 32, 0, 32
16, 27, 0, 27
17, 28, 0, 28
18, 20, 0, 20
19, 26, 0, 26
20, 15, 0, 15
21, 21, 0, 21
22, 20, 0, 20
23, 29, 0, 29
24, 20, 0, 20
25, 24, 0, 24
26, 19, 0, 19
27, 19, 0, 19
28, 42, 0, 42
29, 21, 0, 27
30, 25, 0, 25
31, 30, 0, 30
32, 26, 0, 26
33, 22, 0, 22
34, 27, 0, 27
35, 25, 0, 25
36, 25, 0, 25
37, 35, 0, 35
38, 22, 0, 22
39, 29, 0, 29
40, 25, 0, 25
41, 29, 0, 29
42, 24, 0, 24
43, 31, 0, 31
44, 22, 0, 22
45, 23, 0, 23
46, 29, 0, 29
47, 32, 0, 32
48, 18, 0, 18
49, 33, 0, 33
50, 25, 0, 25
51, 18, 0, 18
52, 21, 0, 21
53, 27, 0, 27
54, 31, 0, 31
55, 23, 0, 23
56, 18, 0, 18
57, 15, 0, 15
58, 24, 0, 24
59, 18, 0, 18
60, 21, 0, 21
61, 35, 0, 35
62, 32, 0, 32
63, 30, 0, 30
64, 22, 0, 22
65, 25, 0, 25
66, 23, 0, 23
67, 28, 0, 28
68, 25, 0, 25
69, 27, 0, 27
70, 25, 0, 25
71, 17, 0, 17
72, 24, 0, 24
73, 33, 0, 33
74, 33, 0, 33
75, 28, 0, 28
76, 22, 0, 22
77, 28, 0, 28
78, 27, 0, 27
79, 23, 0, 23
80, 27, 0, 27
81, 20, 0, 20
82, 24, 0, 24
83, 31, 0, 31
84, 30, 0, 30
85, 23, 0, 23
86, 21, 0, 21
87, 31, 0, 31
88, 23, 0, 23
89, 27, 0, 27
90, 34, 0, 34
91, 26, 0, 26
92, 27, 0, 27
93, 30, 0, 30
94, 24, 0, 24
95, 32, 0, 32
96, 24, 0, 24
97, 29, 0, 29
98, 27, 0, 27
99, 32, 0, 32
100, 25, 0, 25
101, 21, 0, 21
102, 34, 0, 34
103, 32, 0, 32
104, 20, 0, 20
